app_text_requested_gift_order,You have requested gift wrapping for this order
app_text_step_one_of_three,step 1/3
app_text_review_checkout,Review Checkout
app_text_your_wishlist_is_empty,Your wishlist is empty!
app_text_no_shipping_method,No Shipping Method Available
app_text_no_order_found,No Order Found!
app_text_percent_off,% off
app_text_coupon_length_validation,Coupon code characters must be greater than or equal to 4.
app_text_coupon_code_removed,Coupon discount has been removed successfully!
app_text_facebook_login_cancelled,Facebook login has been cancelled.
app_text_facebook_login_failure,Facebook Login Failure:
app_text_login_failed,Login Failed!
app_text_wrong_url_install_mab,You might have entered wrong URL or you have not install our mobile App builder module.
app_text_install_module,Install Module
app_text_text_loading,Loading
app_text_text_exception,Exception:
app_text_msg_reset_password_click,You can reset your password by clicking \'Forget Password\'!
app_text_login_from_here,You can login into the store from here!
app_text_login_from_facebook_account,You can also login into the store from your Facebook account!
